cycle,o_word
1,0
2,0
3,0
4,7.99609375
5,-8
6,0.00390625
7,0
8,0.00390625
9,0
10,-0.00390625
11,0
12,0.046875
13,0.05859375
14,0.06640625
15,0.07421875
16,0.0859375
17,0
18,0
19,0
20,7.99609375
21,-8
22,0.00390625
23,0
24,0.00390625
25,0
26,-0.00390625
27,0
28,0.19140625
29,0.203125
30,0.2109375
31,0.21875
32,0.23046875
33,0
34,0
35,0
36,7.99609375
37,-8
38,0.00390625
39,0
40,0.00390625
41,0
42,-0.00390625
43,0
44,0.3359375
45,0.34765625
46,0.35546875
47,0.36328125
48,0.375
49,0
50,0
51,0
52,7.99609375
53,-8
54,0.00390625
55,0
56,0.00390625
57,0
58,-0.00390625
59,0
60,0.48046875
61,0.4921875
62,0.5
63,0.5078125
64,0.51953125
65,0
66,0
67,0
68,7.99609375
69,-8
70,0.00390625
71,0
72,0.00390625
73,0
74,-0.00390625
75,0
76,0.625
77,0.63671875
78,0.64453125
79,0.65234375
80,0.6640625
81,0
82,0
83,0
84,7.99609375
85,-8
86,0.00390625
87,0
88,0.00390625
89,0
90,-0.00390625
91,0
92,0.76953125
93,0.78125
94,0.7890625
95,0.796875
96,0.80859375
97,0
98,0
99,0
100,7.99609375
101,-8
102,0.00390625
103,0
104,0.00390625
105,0
106,-0.00390625
107,0
108,0.9140625
109,0.92578125
110,0.93359375
111,0.94140625
112,0.953125
113,0
114,0
115,0
116,7.99609375
117,-8
118,0.00390625
119,0
120,0.00390625
121,0
122,-0.00390625
123,0
124,1.05859375
125,1.0703125
126,1.078125
127,1.0859375
128,1.09765625
129,0
130,0
131,0
132,7.99609375
133,-8
134,0.00390625
135,0
136,0.00390625
137,0
138,-0.00390625
139,0
140,1.203125
141,1.21484375
142,1.22265625
143,1.23046875
144,1.2421875
145,0
146,0
147,0
148,7.99609375
149,-8
150,0.00390625
151,0
152,0.00390625
153,0
154,-0.00390625
155,0
156,1.34765625
157,1.359375
158,1.3671875
159,1.375
160,1.38671875
161,0
162,0
163,0
164,7.99609375
165,-8
166,0.00390625
167,0
168,0.00390625
169,0
170,-0.00390625
171,0
172,1.4921875
173,1.50390625
174,1.51171875
175,1.51953125
176,1.53125
177,0
178,0
179,0
